Address,Name,Status,Category,Source File
0x8000DA88,__qdivrem,Not Started,libgcc,
0x8000DAE8,__moddi3,Not Started,libgcc,
0x8000DB84,__ashrdi3,Not Started,libgcc,
0x8000DBB0,osCauseGet,Not Started,libultra_os,
0x8000DBC0,osPiInit,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000DC10,osPiGetAccess,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000DC54,osPiReleaseAccess,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000DC80,osPiReadWord,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000DCD0,osPiStartDma,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000DDA0,osPiSetDeviceTiming,Decompiled,libultra_os,src/libultra/os_pi.c
0x8000DF80,osSpTaskLoad,Not Started,libultra_os,
0x8000E390,__osInsertTimer,Not Started,libultra_os,
0x8000E3C0,sqrtf,Decompiled,libm,src/libm/math.c
0x8000E3D0,osSetTimer,Decompiled,libultra_os,src/libultra/os_timer.c
0x8000E4B0,__osSiRawStartDma,Decompiled,libultra_os,src/libultra/os_si.c
0x8000E560,osSiInit,Decompiled,libultra_os,src/libultra/os_si.c
0x8000E5B0,__osSiGetAccess,Decompiled,libultra_os,src/libultra/os_si.c
0x8000E5F4,__osSiRelAccess,Decompiled,libultra_os,src/libultra/os_si.c
0x8000E620,osContStartReadData,Decompiled,libultra_os,src/libultra/os_si.c
0x8000E6F0,__osContBuildRequest,Decompiled,libultra_os,src/libultra/os_si.c
0x8000E7B4,__osContParseResponse,Decompiled,libultra_os,src/libultra/os_si.c
0x8000E850,__osPfsSelectBank,Not Started,libultra_os,
0x8000E8D0,__osContRamRead,Not Started,libultra_os,
0x8000EA98,__osContRamWrite,Not Started,libultra_os,
0x8000EB00,__osSumcalc,Decompiled,libultra_os,src/util/checksum.c
0x8000EB74,__osIdCheckSum,Decompiled,libultra_os,src/util/checksum.c
0x8000EC70,__osRepairId,Not Started,libultra_os,
0x8000EFC0,__osCheckId,Not Started,libultra_os,
0x8000F124,__osGetId,Not Started,libultra_os,
0x8000F2D0,osPfsReadWriteFile,Not Started,libultra_os,
0x8000F3A4,osPfsFileState,Not Started,libultra_os,
0x8000F9F0,__osContAddressCrc,Not Started,libultra_os,
0x8000FA4C,__osContDataCrc,Not Started,libultra_os,
0x8000FB90,__osSetCompare,Not Started,libultra_os,
0x800140B0,func_800140B0,Not Started,unknown,
0x80087068,func_80087068,Not Started,game_code,
0x80087118,func_80087118,Not Started,game_code,
0x800878EC,func_800878EC,Not Started,game_code,
0x80087A08,func_80087A08,Not Started,game_code,
0x8008A398,func_8008A398,Not Started,game_code,
0x8008A474,func_8008A474,Not Started,game_code,
0x8008A650,func_8008A650,Not Started,game_code,
0x8008A6D0,func_8008A6D0,Not Started,game_code,
0x8008A710,func_8008A710,Not Started,game_code,
0x8008A750,func_8008A750,Not Started,game_code,
0x8008A77C,func_8008A77C,Not Started,game_code,
0x8008AA20,func_8008AA20,Not Started,game_code,
0x8008AA40,func_8008AA40,Not Started,game_code,
0x8008ABF4,func_8008ABF4,Not Started,game_code,
0x8008AC74,func_8008AC74,Not Started,game_code,
0x8008AD48,func_8008AD48,Not Started,game_code,
0x8008AE8C,func_8008AE8C,Not Started,game_code,
0x8008B0D8,func_8008B0D8,Not Started,game_code,
0x8008B26C,func_8008B26C,Not Started,game_code,
0x8008B474,func_8008B474,Not Started,game_code,
0x8008B4C4,func_8008B4C4,Not Started,game_code,
0x8008B660,func_8008B660,Not Started,game_code,
0x8008B69C,Car_UpdatePosVel_A,Not Started,game_code,
0x8008B964,Car_UpdatePosVel_B,Not Started,game_code,
0x8008BA84,Car_UpdatePosVel_C,Not Started,game_code,
0x8008BB8C,Car_UpdatePosVel_D,Not Started,game_code,
0x8008BC94,Car_UpdatePosVel_E,Not Started,game_code,
0x8008BD9C,Car_UpdatePosVel_F,Not Started,game_code,
0x8008C688,func_8008C688,Not Started,game_code,
0x8008C724,func_8008C724,Not Started,game_code,
0x8008C76C,func_8008C76C,Not Started,game_code,
0x8008C884,Car_UpdatePosVel_G,Not Started,game_code,
0x8008D120,Car_UpdatePosVel_H,Not Started,game_code,
0x8008D714,func_8008D714,Not Started,game_code,
0x8008D764,func_8008D764,Not Started,game_code,
0x8008D8D8,func_8008D8D8,Not Started,game_code,
0x8008D93C,Car_UpdatePosVel_I,Not Started,game_code,
0x8008E0C8,func_8008E0C8,Not Started,game_code,
0x8008E19C,func_8008E19C,Not Started,game_code,
0x8008E280,func_8008E280,Not Started,game_code,
0x8008E398,Car_UpdateVelOnly_A,Not Started,game_code,
0x8008E440,func_8008E440,Not Started,game_code,
0x8008EA10,Car_UpdatePosVel_J,Not Started,game_code,
0x80090088,func_80090088,Not Started,game_code,
0x80090228,func_80090228,Not Started,game_code,
0x80090254,func_80090254,Not Started,game_code,
0x80090310,Car_UpdatePosVel_K,Not Started,game_code,
0x8009079C,func_8009079C,Not Started,game_code,
0x800908A0,Car_UpdatePosVel_L,Not Started,game_code,
0x80090B70,Car_FlagVel_Handler_A,Not Started,game_code,
0x80090EA4,func_80090EA4,Not Started,game_code,
0x80090F4C,func_80090F4C,Not Started,game_code,
0x80090FEC,Car_FlagPosVel_Handler_B,Not Started,game_code,
0x80091874,Car_UpdatePosVel_M,Not Started,game_code,
0x80091C04,func_80091C04,Not Started,game_code,
0x80091CA4,func_80091CA4,Not Started,game_code,
0x80091E5C,func_80091E5C,Not Started,game_code,
0x80091F34,func_80091F34,Not Started,game_code,
0x8009229C,func_8009229C,Not Started,game_code,
0x80092360,func_80092360,Not Started,game_code,
0x800924F4,Car_UpdatePosVel_N,Not Started,game_code,
0x80092C58,func_80092C58,Not Started,game_code,
0x80092E2C,func_80092E2C,Not Started,game_code,
0x800930A4,Car_UpdatePosVel_O,Not Started,game_code,
0x80093B20,Car_FlagPosVel_Handler_C,Not Started,game_code,
0x80094890,func_80094890,Not Started,game_code,
0x80094A54,func_80094A54,Not Started,game_code,
0x80094C30,func_80094C30,Not Started,game_code,
0x80094D20,Input_SetPadEnabledFlag,Decompiled,game_code,src/game/input.c
0x80094D68,Input_SetPadSecondaryFlag,Decompiled,game_code,src/game/input.c
0x80094DB0,Input_ConfigRepeatTimers,Decompiled,game_code,src/game/input.c
0x80094E00,Input_SetAnalogBounds,Decompiled,game_code,src/game/input.c
0x80094E8C,Input_InitPadHandlers,Not Started,game_code,
0x80094EC8,Input_ApplyPadConfig,Not Started,game_code,
0x80094F88,func_80094F88,Not Started,game_code,
0x80094FF0,func_80094FF0,Not Started,game_code,
0x8009508C,func_8009508C,Not Started,game_code,
0x80095120,func_80095120,Not Started,game_code,
0x8009515C,func_8009515C,Not Started,game_code,
0x800951E0,func_800951E0,Not Started,game_code,
0x80095360,func_80095360,Not Started,game_code,
0x800953CC,func_800953CC,Not Started,game_code,
0x800954A8,func_800954A8,Not Started,game_code,
0x80095528,func_80095528,Not Started,game_code,
0x8009570C,func_8009570C,Not Started,game_code,
0x80095800,func_80095800,Not Started,game_code,
0x80095924,func_80095924,Not Started,game_code,
