=== OVERNIGHT BATCH JOB ===
Target: 400 functions
Context: 16384 tokens (16K)

Loading disassembly...
Finding all functions...
Found 752 total functions
Checking already processed...
Already processed: 395 functions
Remaining unprocessed: 382 functions
Will process: 382 functions

[152/382] Decompiling 800DB7B4 (178/hr, ETA: 1.3h)...
[153/382] Decompiling 800DC248 (178/hr, ETA: 1.3h)...
[154/382] Decompiling 800DC3F8 (178/hr, ETA: 1.3h)...
[155/382] Decompiling 800DC720 (179/hr, ETA: 1.3h)...
[156/382] Decompiling 800DC794 (179/hr, ETA: 1.3h)...
[157/382] Decompiling 800DC88C (179/hr, ETA: 1.3h)...
[158/382] Decompiling 800DC99C (180/hr, ETA: 1.3h)...
[159/382] Decompiling 800DCD1C (180/hr, ETA: 1.2h)...
[160/382] Decompiling 800DCD94 (181/hr, ETA: 1.2h)...
[161/382] Decompiling 800DCDF4 (182/hr, ETA: 1.2h)...
[162/382] Decompiling 800DD0D0 (181/hr, ETA: 1.2h)...
[163/382] Decompiling 800DD4AC (181/hr, ETA: 1.2h)...
[164/382] Decompiling 800DDFAC (181/hr, ETA: 1.2h)...
[165/382] Decompiling 800DE20C (173/hr, ETA: 1.3h)...
[166/382] Decompiling 800DE868 (173/hr, ETA: 1.3h)...
[167/382] Decompiling 800DEBAC (174/hr, ETA: 1.2h)...
[168/382] Decompiling 800DEC8C (174/hr, ETA: 1.2h)...
[169/382] Decompiling 800DEF68 (175/hr, ETA: 1.2h)...
[170/382] Decompiling 800DFB08 (175/hr, ETA: 1.2h)...
[171/382] Decompiling 800DFBC4 (176/hr, ETA: 1.2h)...
[172/382] Decompiling 800E0050 (176/hr, ETA: 1.2h)...
[173/382] Decompiling 800E05F0 (176/hr, ETA: 1.2h)...
[174/382] Decompiling 800E0B20 (177/hr, ETA: 1.2h)...
[175/382] Decompiling 800E114C (177/hr, ETA: 1.2h)...
  Progress saved (175/382)
[176/382] Decompiling 800E1540 (177/hr, ETA: 1.2h)...
